Id Taxista R,Id Viaje R,Distancia,Duracion
692,12830,"3,536",910
692,13494,"4,543","1,308"
692,13543,"4,546","1,295"
692,13779,"10,260","2,205"
692,13957,"1,331",402
692,15260,"3,053",941
692,15265,"7,327","2,019"
692,15276,"2,541",832
692,15530,"2,246",599
692,15533,"7,432","1,335"
692,15878,"1,657",371
692,15880,"3,061",941
692,15885,885,216
692,16144,"5,719","1,260"
692,16295,"6,095","1,690"
692,16472,"5,748",870
692,16475,"8,605","1,620"
692,17210,41,626
692,17355,"4,723","1,029"
692,17407,"3,743","1,166"
692,17496,"2,565",746
692,17692,"2,466",752
692,17710,"1,127",582
692,17756,"10,725","1,689"
692,17767,"2,203",518
692,18486,"1,460",516
692,18610,"3,314",938
692,18621,"2,652",782
692,18805,"3,057",941
692,18871,"10,520","1,746"
664,30,"6,096","1,523"
664,38,"5,587","1,164"
664,134,21,0
664,354,"4,977","1,212"
664,488,"7,229","1,400"
664,710,"2,519",711
664,881,"6,375","1,413"
664,888,"10,359","1,112"
664,961,819,320
664,1108,"3,201","1,257"
664,1301,"7,729","1,098"
664,1308,"3,865",857
664,1323,"13,912","1,888"
664,1438,"9,022","1,923"
664,1499,"1,721",451
664,1606,"2,862",848
664,1756,"6,080","1,740"
664,2097,"1,098",289
664,2416,"1,593",356
664,2473,"1,428",446
664,2483,"2,985",762
664,2566,"3,805",818
664,2569,"4,646","1,241"
664,2654,"4,866","1,040"
664,2657,"5,548","1,477"
664,2766,"1,997",532
664,2858,"1,910",471
664,2897,"1,410",525
664,2919,"3,001",532
664,3190,"3,032",646
664,3212,"11,315","1,759"
664,3215,"8,063","1,444"
664,3326,"6,613","1,244"
664,3372,"5,561",919
664,3463,"2,542",604
664,3562,"2,976",405
664,3571,"12,811","1,616"
664,3574,"12,817","1,661"
664,3598,"2,514",565
664,4295,"2,419",688
664,4370,"4,214",989
664,4373,"8,940","1,781"
664,4384,"5,600","1,528"
664,4401,152,406
664,4493,"1,539",438
664,4608,"4,154","1,075"
664,4850,"2,205",554
664,5404,"5,578","1,424"
664,5415,700,185
664,5418,"2,182",569
664,5776,"1,635",450
664,5784,9,475
664,5800,"5,787","1,527"
664,6319,"5,278","1,195"
664,6441,"6,487","1,360"
664,6460,"4,830","1,120"
664,6487,"8,840","2,232"
664,6771,"6,085","1,277"
664,6906,"7,694","1,342"
664,6914,"4,146",957
664,7021,"3,879",824
664,7041,"2,770",677
664,7157,774,313
664,7493,"3,775",850
664,7501,"3,027",799
664,7520,"8,658","1,721"
664,7973,"2,534",545
664,7978,"3,526",828
664,7982,"1,180",366
664,7993,"6,341","1,564"
664,8111,"9,368","1,758"
664,8123,670,173
664,8168,"3,811",874
664,8280,"4,157","1,110"
664,8306,"3,022",902
664,8349,"2,743","1,844"
664,8365,"4,956","1,033"
664,8533,"21,780","2,357"
664,8537,"3,702","1,286"
664,8645,"2,214",683
664,8787,357,282
664,8788,"1,909",445
664,9084,"5,825","1,160"
664,9103,"6,347","1,524"
664,9109,"6,661","1,028"
664,9307,"1,184",267
664,9355,"2,215",701
664,9435,"5,491","1,038"
664,9568,"1,507",507
664,9637,"2,607",890
664,9645,7,633
664,9665,"3,688",793
664,9835,"6,044","1,207"
664,10004,"4,620","1,261"
664,10039,"4,570","1,101"
664,10177,"3,204",979
664,10299,"3,392",839
664,10323,"11,280","1,379"
664,10333,"1,547",363
664,11260,"6,044",670
664,11285,"1,631",579
664,11378,"1,723",566
664,11394,"4,849",940
664,11407,"1,021",354
664,11415,"4,656","1,080"
664,11552,"9,165","1,983"
664,11728,"1,819",551
664,11831,"4,657","1,080"
664,12047,"2,841",762
664,12079,"7,213",985
664,12234,"1,788",624
664,12251,"3,540",961
664,12377,"4,940",879
664,12380,"1,878",555
664,12401,"4,567","1,012"
664,12412,"3,918",785
664,12423,"1,830",629
664,12545,"4,436","1,120"
664,12552,"2,166",576
664,12553,"5,998","1,463"
664,12555,"4,703","1,084"
664,12697,"4,744","1,084"
664,14107,"2,107",767
664,14535,"5,281","1,376"
664,14547,"1,394",327
664,14550,"4,635",953
664,14576,"2,462",443
664,14699,"1,447",364
664,14714,"10,374","1,045"
664,14837,"3,190",794
