Calculation1,Year of Fecha,Month of Fecha,Estacion,Lat,Long,PromedioPasajeros
364,2018,May,DIAGONAL NORTE,-34.60484374,-58.37952998,"6,847"
365,2018,May,DORREGO,-34.59171815,-58.44757309,"12,624"
366,2018,May,ECHEVERRIA,-34.57779738,-58.4810135,"6,788"
367,2018,May,EMILIO MITRE,-34.63104184,-58.44217071,"5,395"
368,2018,May,ENTRE RIOS,-34.62271967,-58.3915117,"2,280"
369,2018,May,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"13,740"
370,2018,May,FEDERICO LACROZE,-34.58719785,-58.45502929,"29,532"
371,2018,May,FLORES,-34.62908723,-58.46354051,"11,770"
372,2018,May,FLORIDA,-34.60329729,-58.37507152,"23,300"
373,2018,May,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,961"
374,2018,May,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"10,032"
375,2018,May,HOSPITALES,-34.64126894,-58.41238515,"10,774"
376,2018,May,HUMBERTO I,-34.62309232,-58.40232273,"5,346"
377,2018,May,INCLAN,-34.62937566,-58.40096956,"4,620"
378,2018,May,INDEPENDENCIA,-34.6181256,-58.38017361,"11,324"
379,2018,May,INDEPENDENCIA,-34.61793739,-58.38153494,"11,324"
380,2018,May,JOSE HERNANDEZ,-34.56621524,-58.4521256,"11,205"
381,2018,May,JOSE MARIA MORENO,-34.62801755,-58.43381625,"3,734"
382,2018,May,JUJUY,-34.62386571,-58.40293658,"3,017"
383,2018,May,JURAMENTO,-34.56230909,-58.45648913,"15,678"
384,2018,May,LAS HERAS,-34.58746155,-58.39721558,"11,712"
