Year of Fecha,Month of Fecha,Estacion,Lat,Long,PersonasPromedio
2017,April,AGUERO,-34.59162784,-58.40716132,"9,766"
2017,April,ALBERTI,-34.60983358,-58.40120753,"4,199"
2017,April,ANGEL GALLARDO,-34.60216223,-58.43127386,"13,557"
2017,April,AVENIDA DE MAYO,-34.60898331,-58.38061072,"5,183"
2017,April,AVENIDA LA PLATA,-34.62701547,-58.42678902,"4,421"
2017,April,BOEDO,-34.62536611,-58.41553282,"4,026"
2017,April,BOLIVAR,-34.60924243,-58.37368422,"10,999"
2017,April,BULNES,-34.58823711,-58.4112939,"14,974"
2017,April,CALLAO,-34.59963955,-58.39312518,"13,987"
2017,April,CALLAO.B,-34.60441954,-58.39231424,"15,984"
2017,April,CARABOBO,-34.62666659,-58.4567098,"9,552"
2017,April,CARLOS GARDEL,-34.60407952,-58.4117626,"14,125"
2017,April,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"19,232"
2017,April,CASEROS,-34.63575018,-58.39892759,"5,406"
2017,April,CASTRO BARROS,-34.61177023,-58.42181567,"8,082"
2017,April,CATEDRAL,-34.60780234,-58.37395581,"28,222"
2017,April,CONGRESO,-34.60922568,-58.39266882,"11,491"
2017,April,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"28,678"
2017,April,CONSTITUCION,-34.62761945,-58.38143443,"70,357"
2017,April,CORDOBA,-34.59845511,-58.4037215,"4,668"
2017,April,CORRIENTES,-34.6044902,-58.40545033,"5,039"
2017,April,DIAGONAL NORTE,-34.60484374,-58.37952998,"5,237"
2017,April,DORREGO,-34.59171815,-58.44757309,"12,323"
2017,April,ECHEVERRIA,-34.57779738,-58.4810135,"6,005"
2017,April,EMILIO MITRE,-34.63104184,-58.44217071,"5,010"
2017,April,ENTRE RIOS,-34.62271967,-58.3915117,"2,164"
2017,April,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"15,870"
2017,April,FEDERICO LACROZE,-34.58719785,-58.45502929,"23,187"
2017,April,FLORES,-34.62908723,-58.46354051,"10,199"
2017,April,FLORIDA,-34.60329729,-58.37507152,"17,166"
2017,April,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,520"
2017,April,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"7,941"
2017,April,HOSPITALES,-34.64126894,-58.41238515,"8,242"
2017,April,HUMBERTO I,-34.62309232,-58.40232273,"4,583"
2017,April,INCLAN,-34.62937566,-58.40096956,"4,013"
2017,April,INDEPENDENCIA,-34.6181256,-58.38017361,"11,874"
2017,April,INDEPENDENCIA,-34.61793739,-58.38153494,"11,874"
2017,April,JOSE HERNANDEZ,-34.56621524,-58.4521256,"10,706"
2017,April,JOSE MARIA MORENO,-34.62801755,-58.43381625,"3,425"
2017,April,JUJUY,-34.62386571,-58.40293658,"2,594"
2017,April,JURAMENTO,-34.56230909,-58.45648913,"15,345"
2017,April,LAS HERAS,-34.58746155,-58.39721558,"11,121"
2017,April,LAVALLE,-34.60176992,-58.37815578,"8,388"
2017,April,LEANDRO N. ALEM,-34.6029895,-58.36992985,"21,739"
2017,April,LIMA,-34.60909981,-58.3822324,"6,886"
2017,April,LORIA,-34.61078169,-58.41518571,"6,605"
2017,April,LOS INCAS,-34.58124885,-58.47424083,"8,620"
2017,April,MALABIA,-34.59896736,-58.4397715,"16,776"
2017,April,MARIANO MORENO,-34.61261728,-58.38044447,"6,596"
2017,April,MEDALLA MILAGROSA,-34.63638919,-58.45027826,"1,660"
2017,April,MEDRANO,-34.6031649,-58.42096247,"15,550"
2017,April,MINISTRO CARRANZA,-34.57517836,-58.43501353,"10,041"
2017,April,OLLEROS,-34.57001231,-58.44466815,"11,523"
2017,April,ONCE,-34.60893524,-58.40603638,"9,604"
2017,April,PALERMO,-34.57842202,-58.42571144,"16,645"
2017,April,PASCO,-34.60964596,-58.39842699,"3,214"
2017,April,PASTEUR,-34.60464297,-58.39947426,"11,800"
2017,April,PATRICIOS,-34.63840599,-58.40579483,"7,286"
2017,April,PERU,-34.60855907,-58.37426773,"10,610"
2017,April,PICHINCHA,-34.62310987,-58.39706807,"2,102"
2017,April,PIEDRAS,-34.60888172,-58.37908515,"6,063"
2017,April,PLAZA DE MAYO,-34.60881031,-58.3709685,"16,827"
2017,April,PLAZA ITALIA,-34.58141119,-58.42119601,"10,801"
2017,April,PLAZA MISERERE,-34.60981725,-58.40670712,"11,346"
2017,April,PRIMERA JUNTA,-34.62040521,-58.44117763,"10,957"
2017,April,PUAN,-34.62352895,-58.44864765,"6,205"
2017,April,PUEYRREDON,-34.60458106,-58.40539944,"11,391"
2017,April,PUEYRREDON.D,-34.59442572,-58.40239534,"9,319"
2017,April,PZA. DE LOS VIRREYES,-34.64331216,-58.46165176,"7,757"
2017,April,RETIRO,-34.59211436,-58.37584984,"65,013"
2017,April,RETIRO,-34.59119381,-58.37401822,"65,013"
2017,April,RIO DE JANEIRO,-34.61520561,-58.42950032,"9,126"
2017,April,ROSAS,-34.57431891,-58.48638535,"23,238"
2017,April,SAENZ PEÑA,-34.60941259,-58.38677719,"7,850"
2017,April,SAN JOSE,-34.62233949,-58.38514855,"2,368"
2017,April,SAN JUAN,-34.62191673,-58.37992118,"5,884"
2017,April,SAN PEDRITO,-34.63070709,-58.46963963,"23,392"
2017,April,SANTA FE,-34.5945254,-58.40237618,"7,612"
2017,April,SCALABRINI ORTIZ,-34.58515594,-58.41595542,"11,439"
2017,April,TRIBUNALES,-34.60158717,-58.38514236,"12,667"
2017,April,TRONADOR,-34.58409462,-58.4662272,"4,838"
2017,April,URQUIZA,-34.62465379,-58.40939078,"2,807"
2017,April,URUGUAY,-34.60409355,-58.38729613,"14,485"
2017,April,VARELA,-34.64013735,-58.45789176,"2,045"
2017,April,VENEZUELA,-34.61524215,-58.40473172,"5,903"
2017,May,9 DE JULIO,-34.6042452,-58.38057434,"8,529"
2017,May,ACOYTE,-34.61827997,-58.43642853,"11,953"
2017,May,AGUERO,-34.59162784,-58.40716132,"9,714"
2017,May,ALBERTI,-34.60983358,-58.40120753,"4,061"
2017,May,ANGEL GALLARDO,-34.60216223,-58.43127386,"13,181"
2017,May,AVENIDA DE MAYO,-34.60898331,-58.38061072,"4,883"
2017,May,AVENIDA LA PLATA,-34.62701547,-58.42678902,"4,251"
2017,May,BOEDO,-34.62536611,-58.41553282,"3,870"
2017,May,BOLIVAR,-34.60924243,-58.37368422,"10,604"
2017,May,BULNES,-34.58823711,-58.4112939,"14,939"
2017,May,CALLAO,-34.59963955,-58.39312518,"13,924"
2017,May,CALLAO.B,-34.60441954,-58.39231424,"15,666"
2017,May,CARABOBO,-34.62666659,-58.4567098,"9,382"
2017,May,CARLOS GARDEL,-34.60407952,-58.4117626,"14,035"
2017,May,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"19,058"
2017,May,CASEROS,-34.63575018,-58.39892759,"5,393"
2017,May,CASTRO BARROS,-34.61177023,-58.42181567,"7,978"
2017,May,CATEDRAL,-34.60780234,-58.37395581,"27,194"
2017,May,CONGRESO,-34.60922568,-58.39266882,"11,559"
2017,May,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"26,579"
2017,May,CONSTITUCION,-34.62761945,-58.38143443,"66,206"
2017,May,CORDOBA,-34.59845511,-58.4037215,"4,572"
2017,May,CORRIENTES,-34.6044902,-58.40545033,"4,870"
2017,May,DIAGONAL NORTE,-34.60484374,-58.37952998,"4,965"
2017,May,DORREGO,-34.59171815,-58.44757309,"12,166"
2017,May,ECHEVERRIA,-34.57779738,-58.4810135,"5,958"
2017,May,EMILIO MITRE,-34.63104184,-58.44217071,"4,930"
2017,May,ENTRE RIOS,-34.62271967,-58.3915117,"2,070"
2017,May,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"15,351"
2017,May,FEDERICO LACROZE,-34.58719785,-58.45502929,"22,846"
2017,May,FLORES,-34.62908723,-58.46354051,"10,000"
